customer_id,age,segment,region,tenure_months,credit_limit,avg_monthly_spend,txns_last_3mo,days_past_due,churn_flag,current_balance,utilization_rate,pct_revolve,revolve_balance,delinquent_flag
100001,59,Mass,East,1,50000,13278.0,23,0,0,55961.0,1.12,0.48,26861.0,0
100002,49,Affluent,West,87,50000,19737.0,21,0,1,61360.0,1.23,0.39,23930.0,0
100003,35,Affluent,South,128,120000,7782.0,24,30,1,52927.0,0.44,0.27,14290.0,1
100004,63,Mass,North,67,120000,14637.0,19,0,0,24859.0,0.21,0.37,9198.0,0
100005,28,Affluent,East,4,120000,20698.0,29,0,0,28070.0,0.23,0.35,9824.0,0
100006,41,Starter,North,153,50000,15171.0,24,0,1,11882.0,0.24,0.68,8080.0,0
100007,59,Affluent,East,47,80000,17206.0,17,0,1,29890.0,0.37,0.28,8369.0,0
100008,39,Mass,South,38,50000,13501.0,22,0,0,30038.0,0.6,0.14,4205.0,0
100009,43,Mass,East,143,50000,5127.0,24,60,0,26560.0,0.53,0.22,5843.0,1
100010,31,Affluent,South,21,20000,20734.0,19,0,0,31783.0,1.59,0.4,12713.0,0
100011,31,Mass,East,57,80000,32917.0,17,0,1,21456.0,0.27,0.31,6651.0,0
100012,44,Mass,South,117,20000,18156.0,17,0,0,43722.0,2.19,0.2,8744.0,0
100013,56,Mass,South,46,50000,19915.0,21,0,0,11972.0,0.24,0.15,1796.0,0
100014,60,Affluent,West,142,120000,23888.0,21,0,0,50095.0,0.42,0.36,18034.0,0
100015,44,Starter,South,145,20000,7211.0,29,0,0,0.0,0.0,0.23,0.0,0
100016,23,Affluent,West,39,20000,32471.0,22,0,0,34818.0,1.74,0.25,8704.0,0
100017,42,Mass,South,137,20000,19720.0,20,0,0,66790.0,3.34,0.47,31391.0,0
100018,22,Starter,North,99,120000,31871.0,24,0,1,11204.0,0.09,0.21,2353.0,0
100019,44,Mass,South,77,50000,11769.0,31,30,0,37199.0,0.74,0.48,17856.0,1
100020,64,Mass,North,115,50000,33454.0,20,0,0,45067.0,0.9,0.57,25688.0,0
100021,50,Mass,North,134,120000,24589.0,25,0,0,6680.0,0.06,0.43,2872.0,0
100022,58,Mass,South,151,120000,22701.0,20,0,0,54284.0,0.45,0.12,6514.0,0
100023,22,Starter,North,91,50000,19989.0,24,0,0,734.0,0.01,0.34,250.0,0
100024,41,Mass,West,98,80000,15888.0,27,90,0,16469.0,0.21,0.37,6094.0,1
100025,53,Affluent,East,120,80000,28205.0,28,0,0,49709.0,0.62,0.4,19884.0,0
100026,32,Mass,South,46,80000,19193.0,32,0,0,36726.0,0.46,0.13,4774.0,0
100027,42,Mass,North,38,20000,1280.0,19,0,0,31281.0,1.56,0.56,17517.0,0
100028,64,Mass,South,142,120000,8504.0,20,0,0,25498.0,0.21,0.68,17339.0,0
100029,45,Mass,West,100,50000,16420.0,21,0,0,27820.0,0.56,0.13,3617.0,0
100030,69,Mass,South,72,50000,20635.0,18,0,0,13330.0,0.27,0.19,2533.0,0
100031,47,Mass,South,35,50000,17519.0,19,0,0,5542.0,0.11,0.28,1552.0,0
100032,62,Starter,North,147,20000,28361.0,17,0,0,3282.0,0.16,0.15,492.0,0
100033,48,Mass,West,30,20000,1416.0,21,0,0,38406.0,1.92,0.07,2688.0,0
100034,36,Starter,East,78,80000,19220.0,23,0,0,8521.0,0.11,0.59,5027.0,0
100035,35,Starter,East,84,20000,2547.0,16,0,0,18624.0,0.93,0.13,2421.0,0
100036,67,Starter,North,113,50000,24458.0,24,0,0,9901.0,0.2,0.73,7228.0,0
100037,64,Starter,South,25,50000,17197.0,25,0,0,16822.0,0.34,0.12,2019.0,0
100038,23,Mass,North,168,20000,21567.0,22,0,0,45857.0,2.29,0.55,25221.0,0
100039,57,Mass,North,88,200000,10657.0,25,0,0,43329.0,0.22,0.05,2166.0,0
100040,27,Mass,North,14,20000,28875.0,22,0,0,31168.0,1.56,0.31,9662.0,0
100041,41,Starter,South,154,50000,26855.0,25,0,0,16850.0,0.34,0.49,8256.0,0
100042,29,Affluent,West,102,50000,22960.0,21,0,0,54840.0,1.1,0.24,13162.0,0
100043,59,Mass,North,150,20000,16899.0,25,0,0,37704.0,1.89,0.15,5656.0,0
100044,38,Mass,South,176,20000,22929.0,28,0,0,17733.0,0.89,0.13,2305.0,0
100045,24,Affluent,West,83,80000,11991.0,13,0,0,66459.0,0.83,0.22,14621.0,0
100046,45,Affluent,North,110,200000,25272.0,21,0,0,27932.0,0.14,0.72,20111.0,0
100047,34,Starter,East,179,20000,32021.0,23,0,0,12018.0,0.6,0.78,9374.0,0
100048,29,Mass,West,131,80000,27100.0,19,0,0,45197.0,0.56,0.2,9039.0,0
100049,46,Affluent,North,170,80000,11798.0,28,0,0,82041.0,1.03,0.25,20510.0,0
100050,22,Mass,West,19,120000,21072.0,17,0,1,10484.0,0.09,0.27,2831.0,0
100051,40,Starter,West,28,50000,7008.0,19,0,0,14238.0,0.28,0.43,6122.0,0
100052,48,Mass,West,173,50000,22865.0,22,0,0,10965.0,0.22,0.57,6250.0,0
100053,67,Affluent,West,71,50000,21830.0,17,0,0,73711.0,1.47,0.83,61180.0,0
100054,27,Mass,West,63,80000,2107.0,31,0,0,18759.0,0.23,0.28,5253.0,0
100055,64,Mass,West,73,120000,8125.0,21,0,0,52256.0,0.44,0.52,27173.0,0
100056,28,Affluent,North,124,20000,15593.0,15,0,0,46788.0,2.34,0.38,17779.0,0
100057,67,Starter,East,119,50000,15443.0,19,0,0,17645.0,0.35,0.41,7234.0,0
100058,55,Starter,South,121,120000,7719.0,10,0,0,15637.0,0.13,0.2,3127.0,0
100059,34,Mass,West,19,120000,21306.0,26,0,0,31783.0,0.26,0.33,10488.0,0
100060,37,Affluent,South,175,200000,20138.0,21,0,0,33949.0,0.17,0.55,18672.0,0
100061,56,Mass,North,142,80000,16349.0,21,0,1,0.0,0.0,0.48,0.0,0
100062,60,Mass,West,120,50000,11576.0,26,0,0,24692.0,0.49,0.5,12346.0,0
100063,24,Mass,East,166,80000,26914.0,21,0,0,31704.0,0.4,0.5,15852.0,0
100064,22,Mass,South,61,80000,32071.0,22,0,0,11122.0,0.14,0.32,3559.0,0
100065,26,Mass,West,164,20000,13890.0,20,0,0,11670.0,0.58,0.6,7002.0,0
100066,62,Affluent,North,168,50000,12797.0,30,0,0,37310.0,0.75,0.21,7835.0,0
100067,24,Mass,East,30,80000,22175.0,22,0,0,36443.0,0.46,0.37,13484.0,0
100068,49,Mass,South,9,20000,14957.0,16,60,0,25934.0,1.3,0.31,8040.0,1
100069,38,Mass,South,64,80000,16815.0,19,0,0,39703.0,0.5,0.35,13896.0,0
100070,46,Mass,West,161,80000,24287.0,12,0,0,10387.0,0.13,0.37,3843.0,0
100071,64,Mass,East,120,200000,1770.0,14,30,0,22661.0,0.11,0.18,4079.0,1
100072,54,Mass,East,52,20000,29206.0,21,0,0,52718.0,2.64,0.34,17924.0,0
100073,30,Mass,East,89,50000,18618.0,18,0,0,29025.0,0.58,0.43,12481.0,0
100074,56,Starter,East,142,80000,14502.0,14,0,0,16352.0,0.2,0.16,2616.0,0
100075,34,Starter,North,53,50000,17242.0,20,0,0,14480.0,0.29,0.34,4923.0,0
100076,51,Mass,East,78,80000,17681.0,30,0,0,7010.0,0.09,0.64,4486.0,0
100077,68,Mass,South,41,80000,3285.0,14,0,0,39946.0,0.5,0.43,17177.0,0
100078,35,Mass,South,68,20000,30707.0,34,0,0,52960.0,2.65,0.21,11122.0,0
100079,28,Mass,North,8,50000,18351.0,21,0,0,23127.0,0.46,0.19,4394.0,0
100080,34,Mass,South,2,50000,21766.0,19,0,0,40894.0,0.82,0.42,17175.0,0
100081,43,Starter,South,105,50000,26088.0,22,0,0,13864.0,0.28,0.88,12200.0,0
100082,60,Affluent,East,125,120000,9320.0,28,0,0,35320.0,0.29,0.24,8477.0,0
100083,41,Mass,South,110,120000,22025.0,23,0,0,33774.0,0.28,0.27,9119.0,0
100084,36,Mass,North,86,80000,15725.0,23,0,0,39979.0,0.5,0.35,13993.0,0
100085,65,Mass,East,169,80000,25198.0,24,30,0,44814.0,0.56,0.34,15237.0,1
100086,38,Affluent,West,120,50000,1000.0,26,0,0,4702.0,0.09,0.31,1458.0,0
100087,67,Mass,East,127,120000,17158.0,20,0,1,26988.0,0.22,0.18,4858.0,0
100088,44,Mass,North,16,80000,12876.0,21,0,0,45904.0,0.57,0.28,12853.0,0
100089,46,Mass,East,62,80000,21674.0,22,0,0,22865.0,0.29,0.68,15548.0,0
100090,45,Starter,East,113,120000,21995.0,23,0,0,29846.0,0.25,0.39,11640.0,0
100091,65,Starter,North,176,50000,11985.0,27,90,1,4736.0,0.09,0.1,474.0,1
100092,61,Mass,East,158,120000,11947.0,18,0,0,34685.0,0.29,0.46,15955.0,0
100093,49,Mass,North,12,20000,17059.0,18,0,0,34353.0,1.72,0.83,28513.0,0
100094,35,Mass,North,35,50000,10379.0,24,0,0,3929.0,0.08,0.69,2711.0,0
100095,65,Starter,West,11,50000,25157.0,23,0,0,11025.0,0.22,0.31,3418.0,0
100096,21,Mass,South,64,200000,14862.0,16,0,0,29538.0,0.15,0.15,4431.0,0
100097,45,Mass,South,50,120000,1000.0,28,0,0,2691.0,0.02,0.61,1642.0,0
100098,27,Mass,East,149,80000,14814.0,25,0,0,40468.0,0.51,0.57,23067.0,0
100099,29,Mass,East,69,80000,9172.0,14,0,0,41073.0,0.51,0.02,821.0,0
100100,44,Mass,West,48,80000,4134.0,20,0,0,32908.0,0.41,0.56,18428.0,0
100101,21,Mass,West,20,120000,7482.0,33,0,0,11183.0,0.09,0.19,2125.0,0
100102,64,Mass,West,101,50000,18930.0,20,0,0,48702.0,0.97,0.16,7792.0,0
100103,28,Mass,North,172,50000,29293.0,35,0,0,58558.0,1.17,0.28,16396.0,0
100104,44,Mass,West,161,20000,20662.0,19,0,0,30206.0,1.51,0.43,12989.0,0
100105,31,Starter,West,137,80000,12845.0,25,0,1,19847.0,0.25,0.22,4366.0,0
100106,37,Mass,East,68,80000,21875.0,25,60,0,31026.0,0.39,0.67,20787.0,1
100107,28,Mass,West,35,50000,14098.0,11,0,0,35956.0,0.72,0.48,17259.0,0
100108,55,Mass,North,65,20000,12096.0,20,30,0,26207.0,1.31,0.19,4979.0,1
100109,55,Mass,North,8,120000,8188.0,22,0,1,27482.0,0.23,0.61,16764.0,0
100110,53,Affluent,East,45,20000,3109.0,17,90,0,74112.0,3.71,0.5,37056.0,1
100111,25,Affluent,West,87,80000,14686.0,21,0,0,65633.0,0.82,0.35,22972.0,0
100112,62,Mass,West,175,200000,19343.0,25,30,0,6999.0,0.03,0.34,2380.0,1
100113,59,Starter,North,168,50000,17179.0,23,0,0,27036.0,0.54,0.62,16762.0,0
100114,61,Mass,West,76,20000,14464.0,24,0,0,10293.0,0.51,0.27,2779.0,0
100115,48,Starter,West,76,80000,9961.0,23,30,1,12540.0,0.16,0.76,9530.0,1
100116,27,Mass,West,174,120000,23170.0,18,0,0,19184.0,0.16,0.32,6139.0,0
100117,29,Affluent,South,47,50000,6804.0,21,0,0,31859.0,0.64,0.35,11151.0,0
100118,28,Starter,East,15,200000,24596.0,13,0,0,15065.0,0.08,0.39,5875.0,0
100119,32,Starter,South,105,20000,9481.0,20,30,0,20424.0,1.02,0.26,5310.0,1
100120,54,Starter,East,147,50000,11604.0,23,0,0,6910.0,0.14,0.19,1313.0,0
100121,53,Mass,North,26,80000,5532.0,19,0,0,31072.0,0.39,0.07,2175.0,0
100122,68,Mass,West,52,120000,13738.0,18,0,0,34137.0,0.28,0.52,17751.0,0
100123,43,Starter,East,93,20000,26290.0,25,0,0,1551.0,0.08,0.59,915.0,0
100124,44,Affluent,South,150,120000,22383.0,20,0,0,27448.0,0.23,0.72,19763.0,0
100125,57,Mass,West,21,80000,26317.0,27,0,0,26322.0,0.33,0.69,18162.0,0
100126,55,Starter,North,51,50000,22438.0,13,0,1,21780.0,0.44,0.19,4138.0,0
100127,64,Mass,East,38,20000,8619.0,18,30,0,10482.0,0.52,0.28,2935.0,1
100128,60,Mass,East,20,120000,15188.0,27,0,0,23074.0,0.19,0.37,8537.0,0
100129,42,Mass,East,157,20000,11368.0,25,0,0,44616.0,2.23,0.3,13385.0,0
100130,47,Starter,West,179,50000,29310.0,13,0,0,14338.0,0.29,0.52,7456.0,0
100131,55,Starter,South,132,50000,7827.0,19,0,0,17589.0,0.35,0.65,11433.0,0
100132,21,Starter,South,55,120000,25596.0,26,0,0,4342.0,0.04,0.2,868.0,0
100133,55,Affluent,East,92,80000,25590.0,27,0,0,39010.0,0.49,0.05,1950.0,0
100134,57,Affluent,North,28,80000,33552.0,21,0,0,20286.0,0.25,0.64,12983.0,0
100135,67,Starter,North,4,50000,14518.0,18,0,0,11754.0,0.24,0.56,6582.0,0
100136,34,Starter,South,150,80000,24055.0,23,0,0,17377.0,0.22,0.18,3128.0,0
100137,23,Starter,North,76,80000,37394.0,16,0,0,16031.0,0.2,0.24,3847.0,0
100138,21,Starter,South,173,120000,12750.0,23,0,0,15240.0,0.13,0.08,1219.0,0
100139,25,Affluent,East,67,120000,4952.0,22,0,0,77744.0,0.65,0.55,42759.0,0
100140,46,Mass,South,86,20000,2020.0,23,0,0,22339.0,1.12,0.43,9606.0,0
100141,34,Mass,South,162,80000,24058.0,23,0,0,75367.0,0.94,0.65,48989.0,0
100142,59,Starter,East,91,20000,1993.0,22,0,0,1249.0,0.06,0.64,799.0,0
100143,47,Mass,North,105,50000,14835.0,18,0,0,34197.0,0.68,0.37,12653.0,0
100144,29,Mass,South,1,50000,21717.0,19,0,0,24502.0,0.49,0.15,3675.0,0
100145,35,Mass,South,72,50000,19574.0,22,0,1,21232.0,0.42,0.09,1911.0,0
100146,35,Starter,East,87,50000,21616.0,18,0,0,26566.0,0.53,0.15,3985.0,0
100147,46,Mass,North,166,80000,19889.0,28,0,0,32392.0,0.4,0.26,8422.0,0
100148,62,Mass,South,6,50000,28870.0,15,0,0,0.0,0.0,0.32,0.0,0
100149,33,Starter,East,153,80000,9905.0,15,0,0,28576.0,0.36,0.27,7716.0,0
100150,52,Mass,South,145,50000,12246.0,27,0,0,18447.0,0.37,0.65,11991.0,0
100151,59,Affluent,West,61,20000,11432.0,24,0,0,99207.0,4.96,0.5,49604.0,0
100152,69,Affluent,East,12,80000,25057.0,22,0,0,55397.0,0.69,0.73,40440.0,0
100153,52,Mass,North,6,50000,25653.0,24,0,0,50172.0,1.0,0.32,16055.0,0
100154,24,Mass,North,27,50000,21835.0,21,0,1,5764.0,0.12,0.46,2651.0,0
100155,50,Affluent,North,136,80000,28060.0,23,0,0,59188.0,0.74,0.74,43799.0,0
100156,57,Mass,North,124,50000,7987.0,25,0,0,50801.0,1.02,0.74,37593.0,0
100157,43,Starter,South,106,20000,32171.0,17,0,0,397.0,0.02,0.04,16.0,0
100158,59,Affluent,South,93,50000,30948.0,22,0,0,56989.0,1.14,0.21,11968.0,0
100159,65,Starter,North,109,120000,24253.0,15,0,0,20725.0,0.17,0.08,1658.0,0
100160,35,Mass,North,99,80000,33145.0,24,0,0,17593.0,0.22,0.44,7741.0,0
100161,63,Starter,North,168,80000,3919.0,15,0,0,13820.0,0.17,0.57,7877.0,0
100162,49,Starter,South,142,80000,13542.0,18,0,0,3430.0,0.04,0.29,995.0,0
100163,56,Mass,North,35,20000,11750.0,18,0,0,0.0,0.0,0.6,0.0,0
100164,33,Mass,North,176,50000,24133.0,32,0,0,23344.0,0.47,0.32,7470.0,0
100165,52,Starter,West,84,80000,9074.0,27,0,1,10154.0,0.13,0.21,2132.0,0
100166,27,Starter,West,56,20000,24439.0,15,0,0,16434.0,0.82,0.37,6081.0,0
100167,42,Starter,North,177,50000,29650.0,19,0,1,4243.0,0.08,0.11,467.0,0
100168,48,Mass,East,141,50000,23909.0,18,0,0,22367.0,0.45,0.62,13868.0,0
100169,22,Affluent,North,49,50000,20412.0,31,0,0,46081.0,0.92,0.77,35482.0,0
100170,62,Mass,West,46,200000,9603.0,25,0,0,47039.0,0.24,0.61,28694.0,0
100171,65,Mass,East,113,20000,10802.0,38,0,0,20540.0,1.03,0.56,11502.0,0
100172,26,Affluent,East,136,50000,28622.0,27,0,0,91353.0,1.83,0.57,52071.0,0
100173,48,Mass,North,43,20000,24624.0,24,0,0,30450.0,1.52,0.33,10048.0,0
100174,48,Starter,West,148,200000,17668.0,30,0,0,9489.0,0.05,0.56,5314.0,0
100175,64,Starter,West,124,20000,14448.0,27,30,0,806.0,0.04,0.27,218.0,1
100176,64,Mass,East,97,50000,1000.0,21,0,0,8571.0,0.17,0.34,2914.0,0
100177,40,Mass,North,90,80000,8898.0,21,0,0,10187.0,0.13,0.54,5501.0,0
100178,50,Mass,South,39,80000,34247.0,31,30,0,36684.0,0.46,0.34,12473.0,1
100179,31,Mass,South,85,50000,7116.0,19,0,0,27035.0,0.54,0.4,10814.0,0
100180,48,Mass,West,177,50000,19611.0,20,0,0,21172.0,0.42,0.29,6140.0,0
100181,45,Mass,South,62,50000,26563.0,20,0,1,43234.0,0.86,0.61,26373.0,0
100182,59,Mass,West,106,50000,7333.0,24,0,0,30812.0,0.62,0.44,13557.0,0
100183,53,Mass,West,107,20000,19570.0,19,0,0,28787.0,1.44,0.63,18136.0,0
100184,21,Affluent,West,54,50000,25972.0,16,0,0,68331.0,1.37,0.17,11616.0,0
100185,47,Mass,South,126,50000,18106.0,21,0,0,22373.0,0.45,0.25,5593.0,0
100186,33,Starter,West,9,50000,42381.0,14,0,0,17838.0,0.36,0.47,8384.0,0
100187,61,Mass,East,88,80000,3817.0,27,30,0,16179.0,0.2,0.62,10031.0,1
100188,23,Mass,North,37,200000,26999.0,21,0,0,37854.0,0.19,0.33,12492.0,0
100189,59,Mass,North,49,80000,16531.0,28,0,0,49507.0,0.62,0.74,36635.0,0
100190,26,Mass,West,41,20000,24561.0,23,0,0,7341.0,0.37,0.18,1321.0,0
100191,28,Mass,North,17,20000,21751.0,21,0,0,22850.0,1.14,0.4,9140.0,0
100192,47,Mass,South,88,200000,11768.0,23,0,0,45133.0,0.23,0.67,30239.0,0
100193,29,Starter,South,21,50000,19946.0,26,90,0,23370.0,0.47,0.74,17294.0,1
100194,57,Mass,North,51,20000,2208.0,17,0,1,25428.0,1.27,0.37,9408.0,0
100195,53,Starter,South,59,80000,23128.0,17,0,0,10423.0,0.13,0.1,1042.0,0
100196,62,Mass,North,167,80000,20534.0,23,0,0,42339.0,0.53,0.35,14819.0,0
100197,64,Starter,North,41,80000,23429.0,23,0,0,3902.0,0.05,0.19,741.0,0
100198,44,Affluent,North,39,50000,26994.0,19,0,0,97137.0,1.94,0.4,38855.0,0
100199,35,Mass,West,141,20000,21125.0,23,0,0,9941.0,0.5,0.42,4175.0,0
100200,52,Affluent,North,11,200000,19259.0,24,0,0,46194.0,0.23,0.27,12472.0,0
100201,52,Affluent,West,147,50000,10511.0,26,0,0,47124.0,0.94,0.53,24976.0,0
100202,44,Affluent,North,139,80000,11946.0,17,0,0,32244.0,0.4,0.54,17412.0,0
100203,61,Affluent,North,77,80000,28087.0,16,0,0,43843.0,0.55,0.5,21922.0,0
100204,69,Mass,North,127,80000,30209.0,24,0,0,17348.0,0.22,0.48,8327.0,0
100205,69,Mass,South,46,50000,15976.0,34,0,0,0.0,0.0,0.36,0.0,0
100206,32,Starter,West,45,50000,18391.0,17,0,0,18353.0,0.37,0.34,6240.0,0
100207,59,Starter,West,1,80000,10311.0,27,0,0,16803.0,0.21,0.32,5377.0,0
100208,22,Mass,North,168,120000,27968.0,24,30,0,23862.0,0.2,0.4,9545.0,1
100209,23,Mass,North,108,120000,23656.0,28,30,0,10621.0,0.09,0.23,2443.0,1
100210,69,Mass,South,19,20000,34500.0,24,0,0,765.0,0.04,0.55,421.0,0
100211,57,Mass,South,76,20000,10534.0,33,0,0,20289.0,1.01,0.45,9130.0,0
100212,69,Affluent,South,72,120000,14787.0,23,0,1,38603.0,0.32,0.29,11195.0,0
100213,37,Mass,West,109,80000,19967.0,25,0,0,46843.0,0.59,0.2,9369.0,0
100214,69,Mass,West,12,120000,23495.0,18,0,0,45816.0,0.38,0.11,5040.0,0
100215,22,Affluent,West,161,20000,16167.0,30,0,1,28328.0,1.42,0.33,9348.0,0
100216,22,Affluent,North,45,80000,10580.0,16,0,0,31402.0,0.39,0.31,9735.0,0
100217,48,Mass,West,90,80000,25492.0,22,30,0,35450.0,0.44,0.69,24460.0,1
100218,43,Affluent,East,103,80000,24130.0,16,0,0,48838.0,0.61,0.22,10744.0,0
100219,57,Affluent,East,8,50000,10212.0,18,0,0,41789.0,0.84,0.26,10865.0,0
100220,52,Affluent,South,153,20000,29521.0,25,0,0,33894.0,1.69,0.09,3050.0,0
100221,53,Starter,West,91,80000,27947.0,26,0,0,16573.0,0.21,0.47,7789.0,0
100222,21,Mass,East,174,50000,19142.0,21,0,0,27555.0,0.55,0.26,7164.0,0
100223,39,Mass,South,87,50000,18677.0,19,0,0,35308.0,0.71,0.47,16595.0,0
100224,22,Starter,West,158,200000,22709.0,23,0,0,12951.0,0.06,0.37,4792.0,0
100225,64,Mass,North,175,50000,10676.0,30,0,1,30164.0,0.6,0.54,16289.0,0
100226,46,Mass,East,177,120000,18255.0,29,0,0,32962.0,0.27,0.62,20436.0,0
100227,52,Affluent,North,175,20000,1000.0,21,0,0,48103.0,2.41,0.26,12507.0,0
100228,26,Starter,West,84,80000,25450.0,24,0,0,26207.0,0.33,0.45,11793.0,0
100229,52,Affluent,East,82,200000,4727.0,17,0,1,47352.0,0.24,0.28,13259.0,0
100230,24,Mass,West,146,20000,30779.0,14,0,0,28986.0,1.45,0.72,20870.0,0
100231,31,Mass,North,68,20000,15194.0,15,0,0,23974.0,1.2,0.49,11747.0,0
100232,37,Affluent,East,161,50000,16201.0,26,0,0,27073.0,0.54,0.23,6227.0,0
100233,58,Mass,North,127,20000,12664.0,16,0,0,35269.0,1.76,0.39,13755.0,0
100234,44,Mass,West,164,80000,15552.0,17,0,1,32012.0,0.4,0.31,9924.0,0
100235,25,Affluent,West,82,120000,30058.0,27,0,0,56980.0,0.47,0.74,42165.0,0
100236,54,Mass,North,147,50000,1000.0,24,0,0,48141.0,0.96,0.14,6740.0,0
100237,26,Starter,East,156,50000,28854.0,24,0,1,6935.0,0.14,0.47,3259.0,0
100238,42,Affluent,North,168,50000,20873.0,24,0,0,50677.0,1.01,0.52,26352.0,0
100239,31,Mass,West,84,80000,7740.0,29,0,0,41254.0,0.52,0.62,25577.0,0
100240,68,Mass,North,113,20000,8860.0,17,0,0,7507.0,0.38,0.08,601.0,0
100241,36,Mass,West,76,80000,32249.0,18,0,1,11779.0,0.15,0.61,7185.0,0
100242,53,Affluent,North,122,80000,9963.0,15,0,0,40581.0,0.51,0.4,16232.0,0
100243,29,Starter,East,143,80000,8197.0,30,0,0,20225.0,0.25,0.15,3034.0,0
100244,26,Affluent,East,41,20000,27667.0,24,0,0,22006.0,1.1,0.25,5502.0,0
100245,36,Mass,North,167,80000,20878.0,21,0,0,22258.0,0.28,0.43,9571.0,0
100246,49,Starter,North,2,20000,10028.0,31,0,0,6853.0,0.34,0.46,3152.0,0
100247,23,Mass,East,29,20000,19841.0,28,0,0,20700.0,1.03,0.4,8280.0,0
100248,40,Affluent,West,105,120000,9281.0,18,0,0,39595.0,0.33,0.54,21381.0,0
100249,56,Mass,East,51,80000,27357.0,19,0,0,38598.0,0.48,0.48,18527.0,0
